Anno di corso,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21
1,178,143,133,151,157,171
2,144,144,121,104,126,151
3,107,122,124,109,92,120
4,77,80,102,115,100,91
5,57,80,84,99,113,103
